"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,"Roof,DR,%"
1.4,60.0,2.4,1.37,1.03,0.32,74.6,0.42,2.9
0.4,60.0,0.9,1.31,1.0,1.26,80.1,0.39,1.0
0.5,60.0,0.6,1.0,0.89,0.26,100.0,0.92,0.5
1.5,60.0,0.9,1.41,1.0,0.23,70.1,1.16,1.2
0.4,60.0,0.4,1.0,0.9,0.32,100.0,1.03,0.8
0.3,60.0,0.6,1.37,0.99,0.97,75.4,0.4,0.4
0.7,60.0,2.4,1.31,1.11,0.45,81.6,0.24,2.2
0.3,60.0,0.6,1.37,0.99,0.97,77.1,0.4,0.4
2.2,90.0,3.2,1.0,1.1,0.24,100.0,0.7,2.8
0.8,90.0,1.0,1.0,1.0,0.29,100.0,0.8,1.1
1.5,60.0,6.0,1.0,1.04,1.47,100.0,0.26,11.8
0.6,60.0,0.9,1.37,0.99,0.32,71.2,0.42,1.3
0.4,60.0,1.1,1.32,1.0,0.41,81.6,0.29,0.9
0.9,60.0,2.5,1.31,1.1,0.5,75.9,0.26,4.4
0.1,60.0,0.2,1.37,0.99,0.97,79.8,0.4,0.1
0.4,60.0,0.8,1.27,0.98,0.35,88.2,0.43,0.7
1.0,60.0,2.0,1.27,1.13,0.35,83.0,0.43,2.4
0.5,60.0,1.2,1.37,1.03,0.37,73.4,0.29,0.8
0.9,90.0,0.7,1.0,0.9,0.19,100.0,1.36,1.0
0.5,60.0,1.2,1.37,1.0,0.37,73.2,0.29,0.8
0.2,60.0,0.4,1.31,0.99,1.26,79.8,0.4,0.2
1.2,60.0,1.4,1.44,1.02,0.25,83.3,0.58,0.9
1.3,90.0,1.9,1.0,1.04,0.24,100.0,0.69,1.8
1.1,60.0,1.7,1.37,1.12,0.32,71.2,0.42,2.4
0.4,60.0,0.4,1.0,0.91,0.32,100.0,1.03,1.1
1.5,60.0,2.3,1.3,1.04,0.28,82.4,0.55,1.9
0.7,60.0,2.4,1.31,1.02,0.45,82.4,0.24,2.0
1.5,60.0,1.5,1.0,1.08,0.32,100.0,1.02,3.4
0.4,60.0,0.8,1.27,0.99,0.35,88.8,0.43,0.7
1.2,60.0,1.4,1.44,1.02,0.25,86.0,0.58,0.9
0.8,60.0,1.1,1.49,1.04,0.24,69.6,0.6,1.7
0.9,60.0,0.8,1.0,0.98,0.32,100.0,1.02,1.7
1.2,60.0,2.4,1.37,1.03,0.97,77.2,0.4,0.9
0.4,60.0,1.3,1.31,1.0,0.47,84.9,0.24,1.1
2.0,60.0,2.1,1.0,1.28,0.26,100.0,0.92,3.0
1.8,60.0,1.9,1.0,2.23,0.26,100.0,0.92,3.0
0.4,60.0,1.0,1.31,1.0,0.5,80.0,0.26,1.1
0.6,60.0,1.3,1.43,1.01,0.55,79.7,0.36,1.2
2.6,60.0,3.3,1.0,1.11,0.29,100.0,0.8,3.9
0.2,60.0,1.6,1.28,1.0,2.05,86.0,0.11,1.4
1.5,60.0,0.9,1.41,0.97,0.23,68.9,1.16,1.1
1.1,90.0,0.8,1.0,0.95,0.19,100.0,1.36,1.0
2.1,60.0,1.6,1.0,1.26,0.19,100.0,1.37,1.9
0.9,60.0,0.8,1.0,0.98,0.32,100.0,1.02,1.9
1.7,60.0,1.7,1.0,1.11,0.32,100.0,1.02,3.0
1.8,60.0,1.9,1.0,2.23,0.26,100.0,0.92,3.0
0.6,60.0,2.1,1.31,1.01,0.45,82.6,0.24,2.1
0.2,60.0,0.4,1.43,0.99,0.55,79.7,0.36,0.3
0.4,60.0,0.9,1.31,1.0,1.26,80.2,0.39,0.9
0.5,60.0,1.3,1.27,1.03,0.38,88.2,0.3,1.0
0.8,60.0,1.2,1.3,1.01,0.28,82.4,0.55,0.9
0.6,90.0,1.5,1.0,1.01,0.36,100.0,0.41,1.3
0.7,60.0,1.4,1.31,1.0,1.26,80.7,0.39,1.2
0.3,60.0,0.9,1.31,0.99,0.44,77.8,0.29,1.0
0.1,60.0,0.2,1.43,0.95,0.55,79.7,0.36,0.2
1.2,60.0,2.4,1.37,1.03,0.97,77.2,0.4,1.6
0.9,60.0,1.8,1.31,1.01,1.26,79.4,0.39,1.8
0.6,90.0,1.5,1.0,1.04,0.36,100.0,0.41,1.4
2.3,90.0,1.7,1.0,1.06,0.19,100.0,1.36,1.8
0.3,60.0,0.6,1.37,0.99,0.97,75.5,0.4,0.4
2.2,60.0,2.4,1.44,1.38,0.25,83.3,0.58,0.9
2.0,90.0,1.4,1.0,1.03,0.19,100.0,1.36,1.8
0.8,60.0,1.0,1.3,1.0,0.27,83.7,0.66,0.8
0.7,90.0,1.7,1.0,1.01,0.36,100.0,0.41,0.9
1.5,60.0,2.3,1.3,1.26,0.28,82.5,0.55,2.3
0.2,60.0,0.6,1.31,1.0,0.5,79.3,0.26,0.8
1.3,60.0,2.6,1.27,1.04,0.35,88.2,0.43,3.1
0.5,60.0,1.3,1.37,1.01,0.37,73.2,0.29,1.3
0.4,60.0,1.1,1.32,1.0,0.41,82.6,0.29,0.9
1.5,90.0,1.9,1.0,1.03,0.29,100.0,0.8,2.0
1.5,60.0,1.5,1.0,1.01,0.32,100.0,1.02,3.3
1.2,60.0,1.4,1.44,1.1,0.25,79.2,0.58,0.9
0.8,60.0,1.1,1.49,1.01,0.24,69.1,0.6,1.7
0.8,60.0,1.1,1.45,1.0,0.21,67.3,0.52,0.6
1.3,60.0,2.1,1.37,1.18,0.33,73.2,0.42,2.4
0.1,60.0,0.2,1.37,0.99,0.97,80.0,0.39,0.2
0.3,90.0,1.1,1.0,1.0,1.47,100.0,0.26,1.8
0.7,90.0,2.8,1.0,1.01,1.47,100.0,0.26,5.5
1.2,60.0,2.0,1.37,1.03,0.32,73.2,0.42,3.1
1.7,60.0,2.5,1.0,1.11,0.24,100.0,0.7,2.2
0.4,90.0,1.0,1.0,1.0,0.36,100.0,0.41,0.7
0.5,60.0,1.2,1.37,1.0,0.37,74.0,0.29,1.0
1.0,60.0,1.7,1.37,1.11,0.32,69.2,0.42,2.4
0.1,60.0,1.1,1.26,1.0,2.13,88.1,0.11,1.1
0.1,60.0,0.2,1.37,0.99,0.97,80.7,0.39,0.2
1.2,60.0,1.8,1.0,1.03,0.33,100.0,0.68,2.1
1.8,90.0,2.6,1.0,1.31,0.24,100.0,0.7,2.7
0.9,60.0,1.8,1.31,1.01,1.26,80.2,0.39,1.8
0.9,60.0,0.8,1.0,1.0,0.32,100.0,1.03,1.9
0.4,60.0,1.3,1.31,1.0,0.47,86.0,0.24,1.1
1.1,60.0,0.7,1.41,1.0,0.23,70.4,1.15,0.9
1.5,60.0,1.5,1.0,1.08,0.32,100.0,1.03,3.1
0.4,60.0,0.4,1.0,0.91,0.32,100.0,1.02,0.9
1.1,60.0,2.0,1.27,1.14,0.35,85.9,0.43,2.4
0.4,60.0,0.9,1.31,1.0,1.26,80.7,0.39,0.8
0.5,60.0,0.5,1.0,0.88,0.26,100.0,0.92,0.5
1.5,90.0,3.7,1.0,1.23,0.36,100.0,0.41,3.9
0.2,60.0,0.4,1.31,0.99,1.26,75.4,0.4,0.4
2.2,60.0,2.4,1.44,1.06,0.25,83.3,0.58,1.0
0.8,60.0,1.1,1.45,1.03,0.21,69.2,0.52,1.2
0.6,60.0,0.6,1.0,0.99,0.26,100.0,0.92,0.8
1.6,90.0,2.0,1.0,1.13,0.29,100.0,0.8,2.2
1.1,60.0,3.1,1.0,1.05,0.41,100.0,0.35,3.1
1.6,60.0,2.1,1.45,1.41,0.21,67.7,0.52,1.5
0.6,60.0,1.3,1.43,1.0,0.55,79.3,0.36,1.2
0.8,60.0,1.2,1.3,1.03,0.28,82.7,0.55,0.8
2.1,60.0,2.6,1.0,1.08,0.29,100.0,0.8,3.0
2.6,90.0,6.4,1.0,1.11,0.36,100.0,0.41,6.1
1.3,90.0,1.6,1.0,1.02,0.29,100.0,0.8,2.0
0.1,60.0,0.3,1.37,0.99,0.97,75.4,0.4,0.1
0.7,60.0,1.3,1.27,1.05,0.35,88.2,0.43,1.3
1.5,60.0,5.9,1.0,1.04,1.47,100.0,0.26,10.0
1.4,60.0,0.8,1.41,0.94,0.23,70.8,1.16,1.0
0.1,60.0,0.4,1.0,1.0,1.47,100.0,0.26,0.8
0.4,60.0,0.8,1.27,0.98,0.35,85.9,0.43,1.1
1.2,60.0,2.4,1.37,1.03,0.97,79.8,0.4,0.9
2.1,60.0,2.3,1.0,1.04,0.26,100.0,0.92,3.5
1.0,60.0,0.6,1.41,0.88,0.23,70.1,1.16,0.8
0.3,60.0,0.9,1.31,0.99,0.44,83.0,0.29,0.9
1.4,60.0,2.7,1.27,1.04,0.35,88.8,0.43,2.5
0.1,60.0,0.3,1.31,0.96,0.5,80.0,0.26,0.4
1.2,90.0,1.7,1.0,1.02,0.33,100.0,0.68,2.1
1.2,60.0,1.1,1.0,1.02,0.32,100.0,1.03,2.6
1.5,60.0,2.2,1.0,1.18,0.33,100.0,0.68,3.0
0.6,60.0,1.2,1.43,1.0,0.55,77.9,0.36,1.1
1.1,60.0,2.2,1.37,1.02,0.97,80.2,0.39,1.8
1.0,60.0,1.1,1.0,1.0,0.26,100.0,0.92,1.5
0.2,60.0,1.6,1.28,1.0,2.05,82.2,0.11,1.2
0.6,60.0,2.1,1.31,1.09,0.45,81.1,0.24,2.1
0.3,60.0,0.6,1.37,0.99,0.97,75.5,0.4,0.3
1.5,60.0,2.3,1.3,1.04,0.28,83.7,0.55,1.9
1.1,60.0,2.1,1.37,1.02,0.97,80.0,0.39,1.8
1.5,90.0,3.7,1.0,1.23,0.36,100.0,0.41,3.6
0.9,60.0,2.2,1.37,1.15,0.37,73.2,0.29,2.1
0.4,60.0,1.2,1.31,1.02,0.45,81.1,0.24,1.0
0.9,60.0,2.2,1.37,1.02,0.37,74.0,0.29,1.9
0.4,60.0,0.4,1.0,0.99,0.32,100.0,1.02,1.0
0.5,60.0,1.3,1.27,1.01,0.38,88.2,0.3,1.2
0.9,60.0,1.0,1.0,1.0,0.26,100.0,0.92,1.8
1.5,60.0,2.1,1.0,1.04,0.33,100.0,0.68,2.6
1.1,60.0,2.2,1.37,1.02,0.97,80.2,0.39,1.9
0.4,60.0,0.8,1.31,1.0,1.26,77.1,0.4,1.0
0.1,60.0,0.2,1.31,0.99,1.26,80.7,0.39,0.2
0.6,60.0,0.9,1.37,0.99,0.32,73.2,0.42,0.9
1.8,90.0,2.6,1.0,1.08,0.24,100.0,0.7,2.3
0.8,60.0,1.0,1.3,1.0,0.27,83.6,0.66,0.9
1.5,60.0,2.3,1.3,1.27,0.28,84.2,0.55,1.9
1.6,60.0,3.2,1.37,1.04,0.97,77.4,0.4,1.3
2.4,60.0,3.5,1.0,1.72,0.24,100.0,0.7,3.4
1.0,60.0,4.0,1.0,1.02,1.47,100.0,0.26,6.3
1.6,60.0,3.1,1.37,1.04,0.97,77.2,0.4,1.3
1.5,60.0,1.7,1.0,1.02,0.26,100.0,0.92,2.2
1.1,60.0,3.1,1.0,1.2,0.41,100.0,0.35,2.4
1.6,60.0,1.9,1.3,1.22,0.27,83.7,0.66,2.1
0.7,60.0,2.4,1.31,1.02,0.45,82.6,0.24,2.8
0.1,60.0,0.2,1.43,0.95,0.55,77.9,0.36,0.2
1.1,90.0,0.8,1.0,0.95,0.19,100.0,1.36,0.8
0.5,60.0,1.3,1.27,1.04,0.38,87.5,0.3,1.2
1.3,60.0,0.8,1.41,1.0,0.23,71.2,1.16,1.1
0.1,60.0,0.2,1.31,0.99,1.26,75.4,0.4,0.1
2.7,60.0,3.4,1.0,1.49,0.29,100.0,0.8,5.4
0.6,60.0,1.8,1.31,1.05,0.5,80.0,0.26,2.3
2.0,60.0,2.1,1.0,1.28,0.26,100.0,0.92,3.5
0.2,60.0,0.6,1.31,1.0,0.5,79.4,0.26,0.8
0.8,60.0,1.3,1.44,1.03,0.4,73.1,0.47,1.1
0.9,60.0,1.0,1.0,0.99,0.26,100.0,0.92,1.2
1.6,60.0,3.2,1.37,1.04,0.97,75.4,0.4,2.1
0.4,60.0,0.9,1.31,1.0,1.26,75.5,0.4,0.7
0.1,60.0,1.1,1.26,1.0,2.13,83.5,0.11,1.1
1.7,60.0,4.2,1.0,1.41,0.36,100.0,0.41,5.1
1.6,60.0,3.2,1.37,1.04,0.97,75.5,0.4,2.1
0.2,60.0,1.6,1.28,1.0,2.05,86.5,0.11,1.2
1.8,60.0,1.9,1.0,1.23,0.26,100.0,0.92,3.5
0.7,60.0,2.6,1.31,1.12,0.47,84.9,0.24,2.5
0.3,90.0,1.2,1.0,1.0,1.47,100.0,0.26,2.3
2.2,60.0,2.4,1.44,1.06,0.25,86.0,0.58,1.0
1.9,90.0,1.4,1.0,1.03,0.19,100.0,1.36,1.5
0.1,60.0,0.3,1.31,0.99,0.5,78.6,0.26,0.4
0.5,60.0,1.5,1.31,1.03,0.5,79.3,0.26,1.9
0.9,60.0,1.8,1.31,1.01,1.26,79.3,0.39,1.9
2.1,60.0,1.6,1.0,1.07,0.19,100.0,1.37,1.6
1.3,90.0,1.9,1.0,1.04,0.24,100.0,0.69,1.6
1.1,60.0,1.7,1.3,1.15,0.28,82.7,0.55,1.5
0.4,60.0,0.9,1.31,1.0,1.26,79.3,0.39,1.0
1.4,60.0,2.4,1.37,1.22,0.32,71.2,0.42,2.9
0.5,60.0,1.9,1.26,1.01,0.49,90.2,0.25,1.8
1.4,60.0,0.8,1.41,1.0,0.23,71.2,1.16,1.1
1.2,60.0,1.8,1.3,1.03,0.28,83.7,0.55,1.5
2.0,60.0,2.1,1.0,1.03,0.26,100.0,0.92,2.8
0.2,60.0,0.2,1.49,0.78,0.24,69.1,0.6,0.9
0.9,60.0,0.5,1.41,0.84,0.23,70.8,1.16,0.6
1.4,60.0,1.5,1.0,1.13,0.26,100.0,0.92,2.5
1.4,60.0,1.2,1.45,1.11,0.19,68.7,0.78,2.3
0.4,60.0,0.9,1.31,1.0,1.26,80.2,0.39,1.0
0.5,60.0,1.3,1.27,1.04,0.38,90.1,0.3,1.1
0.8,60.0,1.3,1.44,1.01,0.4,78.8,0.47,0.9
0.7,60.0,2.0,1.31,1.01,0.5,79.4,0.26,2.6
0.8,60.0,1.7,1.31,1.01,1.26,80.7,0.39,1.8
0.1,60.0,0.2,1.31,0.99,1.26,79.4,0.39,0.2
1.3,60.0,4.9,1.0,1.03,1.47,100.0,0.26,8.8
1.5,60.0,2.1,1.49,1.05,0.24,67.0,0.6,2.7
0.8,60.0,2.5,1.31,1.1,0.5,80.0,0.26,3.3
2.1,60.0,2.3,1.0,1.04,0.26,100.0,0.92,3.5
0.5,60.0,1.9,1.26,1.01,0.49,92.6,0.25,1.8
0.3,60.0,1.0,1.31,1.0,0.5,76.0,0.26,1.1
1.0,60.0,2.6,1.31,1.02,0.44,81.7,0.29,2.8
0.8,60.0,1.6,1.37,1.01,0.97,80.7,0.39,0.7
1.5,90.0,1.1,1.0,1.01,0.19,100.0,1.36,1.4
0.1,60.0,0.3,1.31,0.99,0.5,79.4,0.26,0.4
0.4,60.0,0.4,1.0,0.99,0.32,100.0,1.03,0.8
1.0,60.0,1.1,1.0,1.03,0.26,100.0,0.92,1.7
1.5,60.0,5.9,1.0,1.04,1.47,100.0,0.26,11.6
0.9,60.0,1.0,1.0,1.01,0.26,100.0,0.92,1.8
2.3,90.0,1.7,1.0,1.06,0.19,100.0,1.36,1.8
0.9,60.0,0.5,1.41,0.99,0.23,71.2,1.16,0.7
1.0,90.0,0.8,1.0,0.98,0.19,100.0,1.36,0.9
1.5,60.0,2.4,1.37,1.22,0.33,71.1,0.42,2.8
1.3,60.0,2.1,1.37,1.03,0.33,74.6,0.42,2.1
1.5,60.0,5.9,1.0,1.04,1.47,100.0,0.26,11.6
0.3,60.0,0.9,1.31,1.0,0.5,79.3,0.26,1.3
0.6,60.0,1.0,1.37,1.0,0.33,72.8,0.42,1.0
0.3,60.0,0.6,1.37,0.99,0.97,77.2,0.4,0.3
0.7,90.0,1.7,1.0,1.06,0.36,100.0,0.41,1.6
0.5,60.0,1.5,1.31,1.01,0.5,80.0,0.26,1.7
0.6,60.0,1.3,1.43,1.0,0.55,77.6,0.36,1.1
1.7,60.0,1.6,1.0,1.1,0.32,100.0,1.03,3.0
2.0,60.0,1.4,1.0,1.05,0.19,100.0,1.37,2.2
0.6,60.0,1.3,1.43,1.0,0.55,77.9,0.36,0.9
1.7,60.0,1.6,1.0,1.01,0.32,100.0,1.02,3.4
0.8,60.0,2.8,1.26,1.12,0.49,90.7,0.25,2.9
1.5,60.0,1.5,1.0,1.01,0.32,100.0,1.02,3.4
1.4,60.0,3.5,1.0,1.08,0.36,100.0,0.41,1.9
0.8,60.0,1.2,1.3,1.01,0.28,82.5,0.55,0.8
0.3,60.0,0.9,1.31,0.99,0.5,75.9,0.26,1.3
2.0,60.0,2.1,1.0,1.03,0.26,100.0,0.92,2.8
0.7,90.0,1.9,1.0,1.02,0.41,100.0,0.35,1.9
1.6,60.0,2.2,1.49,1.33,0.24,69.6,0.6,2.7
0.6,60.0,2.1,1.31,1.01,0.45,81.4,0.24,1.7
1.7,90.0,2.4,1.0,1.07,0.24,100.0,0.69,2.1
0.5,60.0,0.5,1.0,0.89,0.26,100.0,0.92,0.6
1.8,90.0,2.6,1.0,1.08,0.24,100.0,0.7,2.4
2.2,60.0,5.4,1.0,1.56,0.36,100.0,0.41,3.7
1.0,60.0,2.6,1.31,1.13,0.44,77.8,0.29,3.0
0.9,60.0,2.5,1.31,1.02,0.5,80.0,0.26,4.4
0.4,60.0,1.1,1.32,1.01,0.41,83.5,0.29,0.9
