"Period, sec",£F,"PGA,g","PGV,in/sec",Target
0.19,1.45,0.5,4.2,1.2
0.19,1.45,1.69,9.9,2
0.18,1.45,0.83,7,2.3
0.25,1.31,0.41,5.3,1
0.25,1.31,0.91,8.9,2.1
0.25,1.31,1.39,9.4,2.8
0.27,1.31,0.37,6.2,1.1
0.27,1.31,0.82,10.4,2
0.27,1.31,1.26,11.4,2.6
0.22,1.37,0.53,5.8,1.3
0.22,1.37,1.69,10.8,2.4
0.22,1.37,2.19,11.4,3.1
0.22,1.37,1.96,12.8,2.9
0.2,1.37,0.45,5.8,1.3
0.2,1.37,0.86,9.8,2.5
0.2,1.37,1.1,9.1,2.6
0.22,1.37,0.4,6.2,0.8
0.22,1.37,0.44,6.2,1
0.22,1.37,0.91,12.4,2.1
0.22,1.37,1.27,12.1,2.8
0.25,1.31,0.34,5.3,1.3
0.25,1.31,0.79,11.1,2.3
0.25,1.31,1.61,14,4.4
0.25,1.31,0.16,2.2,0.4
0.25,1.31,0.3,3.9,0.8
0.25,1.31,0.45,6.3,1.1
0.25,1.31,0.44,6.3,1.1
0.25,1.31,0.68,9.4,1.7
0.25,1.31,0.98,12.2,2.6
0.25,1.31,2.5,13.6,4.3
0.21,1.36,0.31,5.2,1.1
0.22,1.32,0.3,5.2,1
0.26,1.26,0.36,5.4,1.1
0.26,1.26,0.73,9.7,1.8
0.26,1.26,1.16,14.2,3.6
0.23,1.31,0.33,5.3,1
0.23,1.31,0.55,9.7,1.7
0.23,1.31,1.07,15.6,3
0.1,1.41,0.56,7.4,0.7
0.1,1.41,0.48,6.9,0.6
0.1,1.41,0.79,10.2,1.1
0.1,1.41,1.48,14.1,1.2
0.17,1.49,0.29,2.2,0.1
0.17,1.49,1.5,8.3,0.9
0.17,1.49,0.09,1.3,0.3
0.17,1.49,0.39,6.3,1
0.17,1.49,0.55,8.6,1.4
0.17,1.49,0.79,11.6,1.6
0.17,1.44,0.38,5.9,1.1
0.17,1.44,0.57,8.6,1.7
0.17,1.44,0.77,10.7,2.1
0.17,1.44,1.08,14.6,2.7
0.25,1.27,0.34,6.2,1.2
0.25,1.27,0.33,5.7,1
0.25,1.27,0.5,8.2,1.5
0.26,1.27,0.33,5.2,1.1
0.26,1.27,0.36,5.2,1.3
0.26,1.27,0.33,4.8,1
0.26,1.27,0.63,8.8,1.8
0.26,1.27,0.96,12.7,2.4
0.26,1.27,1.24,15.6,3.1
0.28,1.43,0.08,1.4,0.1
0.28,1.43,0.16,3.2,0.3
0.28,1.43,0.49,8.9,1.1
0.28,1.43,0.48,9.6,0.9
0.22,1.44,0.48,9.6,1.1
0.13,1,1.27,12.8,1.2
0.13,1,2.35,15.6,2.2
0.13,1,2.65,15.6,2.4
0.19,1,0.93,11.9,1.9
0.19,1,3.1,14.9,3.7
0.13,1,0.85,11.4,1.3
0.13,1,3.07,15.1,3.4
0.23,1,0.87,10.8,2.4
0.23,1,3.11,15,3.5
0.21,1,3.26,15.2,3
0.21,1,2.82,15.6,3.9
0.2,1,0.43,4.8,0.7
0.2,1,0.89,8.8,1.6
0.2,1,1.59,12.1,2.5
0.23,1,0.67,11.5,2.1
0.23,1,1.34,14.6,2.4
0.22,1,0.33,6.7,1
0.22,1,0.59,10.2,2.9
0.19,1,0.42,8.5,0.9
0.19,1,1.18,14.1,3.6
0.23,1,0.55,8.7,1.9
0.23,1,1.35,13.6,2.6
0.23,1,1.36,13.6,2.6
0.13,1,0.85,9.3,1.5
0.13,1,1.58,13.4,2.4
0.13,1,2.61,14.3,3.6
0.13,1,0.59,6.9,1
0.13,1,1.01,10,1.4
0.13,1,1.43,13.3,1.8
0.14,1,0.72,11.5,0.9
0.14,1,2.04,15.4,1.4
0.14,1,0.94,8.7,0.5
0.14,1,1.23,14.5,1.8
0.14,1,1.52,15.6,1.9
0.2,1,0.46,7.8,0.9
0.2,1,1.28,14.4,2
0.2,1,1.54,15.7,2.2
0.19,1.3,0.35,5.2,0.8
0.19,1.3,0.5,7.6,1.4
0.19,1.3,0.62,10,2
0.19,1.3,0.35,5.1,0.8
0.19,1.3,0.5,7.5,1.5
0.19,1.3,0.6,9.8,1.9
0.97,1.26,0.45,20,1.1
0.93,1.28,0.4,14,1.2
0.77,1,0.2,5.5,0.8
0.77,1,0.4,14.2,1.8
0.77,1,0.51,31.6,5
0.77,1,0.44,15,1.6
0.77,1,0.52,35.5,6.3
0.77,1,0.48,30.9,5.1
0.77,1,0.62,43,8.8
0.77,1,0.8,50.5,9.9
0.77,1,0.79,50.9,7
0.77,1,0.82,52.2,10
0.67,1.31,0.07,3.4,0.2
0.67,1.31,0.21,8.5,0.5
0.67,1.31,0.42,17.1,1
0.67,1.31,1.05,33,1.8
0.67,1.31,0.46,18.3,0.7
0.5,1.37,0.06,2.5,0.1
0.5,1.37,0.16,6.6,0.2
0.5,1.37,0.32,12.2,0.4
0.5,1.37,0.75,21.9,0.8
0.5,1.37,0.45,18.3,0.7
0.13,1,0.51,3.8,0.5
0.13,1,0.93,7.6,1.7
0.13,1,1.26,8.9,2.5
0.13,1,1.76,10.9,3.5
0.13,1,1.46,11.7,3
0.13,1,1.9,12,3.5
0.13,1,1.36,9.7,2.2
0.13,1,0.82,6.6,1.8
0.13,1,0.64,3.6,0.8
0.13,1,1.72,11.4,3.5
0.13,1,0.58,3.3,0.9
0.13,1,0.9,6.5,1.7
0.13,1,1.21,8.9,2.2
0.13,1,1.41,12,3
0.13,1,1.4,12.1,3.4
0.13,1,1.56,11.7,3
0.13,1,1.15,9.3,2.7
0.13,1,0.95,6.3,2.1
0.13,1,0.62,3.4,1.1
0.13,1,1.57,11.5,3.1
0.5,1.37,0.07,2.9,0.1
0.5,1.37,0.17,7.2,0.3
0.5,1.37,0.37,15.5,0.6
0.5,1.37,0.62,28.9,0.9
0.5,1.37,0.88,30.7,1
0.5,1.37,1.26,36.7,1.3
0.67,1.31,0.09,3.7,0.2
0.67,1.31,0.25,9.5,0.6
0.67,1.31,0.5,19.3,1
0.67,1.31,0.83,36.4,1.8
0.67,1.31,1.23,37.9,1.9
0.67,1.31,0.87,32,1.2
0.19,1.45,0.5,4.2,1.2
0.19,1.45,1.69,9.9,2
0.18,1.45,0.83,7,2.3
0.2,1.31,0.41,5.3,1
0.2,1.31,0.91,8.9,2.1
0.2,1.31,1.39,9.4,2.8
0.21,1.31,0.37,6.2,1.1
0.21,1.31,0.82,10.4,2
0.21,1.31,1.26,11.4,2.6
0.18,1.36,0.53,5.8,1.3
0.18,1.36,1.69,10.8,2.4
0.18,1.36,2.19,11.4,3.1
0.18,1.36,1.96,12.8,2.9
0.17,1.36,0.45,5.8,1.3
0.17,1.36,0.86,9.8,2.5
0.17,1.36,1.1,9.1,2.6
0.18,1.36,0.4,6.2,0.8
0.18,1.36,0.44,6.2,1
0.18,1.36,0.91,12.4,2.1
0.18,1.36,1.27,12.1,2.8
0.2,1.32,0.34,5.3,1.3
0.2,1.32,0.79,11.1,2.3
0.2,1.32,1.61,14,4.4
0.2,1.32,0.16,2.2,0.4
0.2,1.32,0.3,3.9,0.8
0.2,1.32,0.45,6.3,1.1
0.2,1.32,0.44,6.3,1.1
0.2,1.32,0.68,9.4,1.7
0.2,1.32,0.98,12.2,2.6
0.2,1.32,2.5,13.6,4.3
0.18,1.34,0.31,5.2,1.1
0.18,1.32,0.3,5.2,1
0.22,1.25,0.36,5.4,1.1
0.22,1.25,0.73,9.7,1.8
0.22,1.25,1.16,14.2,3.6
0.19,1.31,0.33,5.3,1
0.19,1.31,0.55,9.7,1.7
0.19,1.31,1.07,15.6,3
0.1,1.4,0.56,7.4,0.7
0.1,1.4,0.48,6.9,0.6
0.1,1.4,0.79,10.2,1.1
0.1,1.4,1.48,14.1,1.2
0.14,1.48,0.29,2.2,0.1
0.14,1.48,1.5,8.3,0.9
0.14,1.48,0.09,1.3,0.3
0.14,1.48,0.39,6.3,1
0.14,1.48,0.55,8.6,1.4
0.14,1.48,0.79,11.6,1.6
0.15,1.46,0.38,5.9,1.1
0.15,1.46,0.57,8.6,1.7
0.15,1.46,0.77,10.7,2.1
0.15,1.46,1.08,14.6,2.7
0.21,1.26,0.34,6.2,1.2
0.21,1.26,0.33,5.7,1
0.21,1.26,0.5,8.2,1.5
0.21,1.26,0.33,5.2,1.1
0.21,1.26,0.36,5.2,1.3
0.21,1.26,0.33,4.8,1
0.21,1.26,0.63,8.8,1.8
0.21,1.26,0.96,12.7,2.4
0.21,1.26,1.24,15.6,3.1
0.24,1.44,0.08,1.4,0.1
0.24,1.44,0.16,3.2,0.3
0.24,1.44,0.49,8.9,1.1
0.24,1.44,0.48,9.6,0.9
0.18,1.44,0.48,9.6,1.1
0.07,1,1.27,12.8,1.2
0.07,1,2.35,15.6,2.2
0.07,1,2.65,15.6,2.4
0.11,1,0.93,11.9,1.9
0.11,1,3.1,14.9,3.7
0.07,1,0.85,11.4,1.3
0.07,1,3.07,15.1,3.4
0.15,1,0.87,10.8,2.4
0.15,1,3.11,15,3.5
